Driver_ID,telemetry_minutes,trips,overspeed_events,harsh_acceleration_events,harsh_braking_events,aggressive_lateral_events,avg_speed_kmph,max_observed_speed_kmph,overspeed_rate,harsh_acceleration_rate,harsh_braking_rate,aggressive_lateral_rate,overspeed_score,braking_score,acceleration_score,lateral_score,risk_score,risk_category,risk_rank
D14,426,15,45,19,26,17,25.416431924882627,65.5,10.56338028169014,4.460093896713615,6.103286384976526,3.9906103286384975,93.10344827586206,100.0,86.20689655172413,68.96551724137932,88.6,Higher Risk,4
D15,479,15,10,9,7,18,22.997494780793318,52.5,2.0876826722338206,1.8789144050104383,1.4613778705636742,3.7578288100208765,58.620689655172406,51.724137931034484,51.724137931034484,62.06896551724138,56.2,Moderate Risk,13
D16,459,15,0,3,5,8,25.044662309368192,39.9,0.0,0.6535947712418301,1.0893246187363834,1.7429193899782136,10.344827586206897,31.03448275862069,24.137931034482758,27.586206896551722,21.7,Lower Risk,22
D17,438,15,8,8,10,14,25.6148401826484,52.0,1.82648401826484,1.82648401826484,2.28310502283105,3.1963470319634704,48.275862068965516,65.51724137931035,48.275862068965516,51.724137931034484,53.3,Moderate Risk,16
D18,400,15,0,2,4,6,24.864,40.1,0.0,0.5,1.0,1.5,10.344827586206897,27.586206896551722,20.689655172413794,15.517241379310345,17.8,Lower Risk,24
D19,338,15,33,17,10,17,24.631656804733726,63.3,9.763313609467456,5.029585798816568,2.9585798816568047,5.029585798816568,86.20689655172413,82.75862068965517,96.55172413793103,93.10344827586206,88.8,Higher Risk,3
D20,380,15,4,9,16,12,24.689736842105265,49.9,1.0526315789473684,2.368421052631579,4.2105263157894735,3.1578947368421053,34.48275862068966,93.10344827586206,68.96551724137932,48.275862068965516,58.8,Moderate Risk,11
D21,472,15,11,8,8,19,24.822033898305083,59.5,2.330508474576271,1.694915254237288,1.694915254237288,4.025423728813559,72.41379310344827,55.172413793103445,44.827586206896555,75.86206896551724,63.3,Moderate Risk,9
D22,458,15,0,2,5,7,22.45371179039301,42.8,0.0,0.43668122270742354,1.0917030567685588,1.5283842794759825,10.344827586206897,34.48275862068966,10.344827586206897,20.689655172413794,18.4,Lower Risk,23
D23,457,15,46,16,23,19,24.202407002188185,70.2,10.065645514223196,3.50109409190372,5.032822757111598,4.157549234135667,89.65517241379311,96.55172413793103,79.3103448275862,79.3103448275862,87.2,Higher Risk,6
D24,460,15,60,20,19,22,26.602608695652176,69.3,13.043478260869565,4.3478260869565215,4.130434782608695,4.782608695652174,100.0,89.65517241379311,82.75862068965517,89.65517241379311,91.9,Higher Risk,1
D25,439,15,9,12,6,19,23.521184510250567,51.1,2.050113895216401,2.733485193621868,1.366742596810934,4.328018223234624,55.172413793103445,48.275862068965516,75.86206896551724,82.75862068965517,63.1,Moderate Risk,10
D26,419,15,0,2,2,7,24.179236276849643,43.3,0.0,0.47732696897374705,0.47732696897374705,1.6706443914081146,10.344827586206897,6.896551724137931,17.24137931034483,24.137931034482758,13.6,Lower Risk,28
D27,366,15,5,9,3,12,23.15983606557377,51.3,1.366120218579235,2.459016393442623,0.819672131147541,3.278688524590164,37.93103448275862,20.689655172413794,72.41379310344827,58.620689655172406,44.7,Moderate Risk,19
D28,400,15,0,0,3,6,22.30225,42.1,0.0,0.0,0.75,1.5,10.344827586206897,13.793103448275861,0.0,15.517241379310345,10.2,Lower Risk,29
D29,442,15,1,2,3,4,26.47126696832579,47.0,0.22624434389140274,0.4524886877828055,0.6787330316742082,0.904977375565611,27.586206896551722,10.344827586206897,13.793103448275861,6.896551724137931,16.4,Lower Risk,25
D30,474,15,3,10,6,7,21.997257383966247,58.0,0.6329113924050633,2.109704641350211,1.2658227848101267,1.4767932489451476,31.03448275862069,41.37931034482759,55.172413793103445,10.344827586206897,34.3,Lower Risk,21
